,书籍名称,频率
1149,战记,1
1150,怪诞行为学,4
1151,批评官员的尺度,1
1152,失控：机器、社会与经济的新生物学,1
1153,通往奴役之路,1
1154,爱因斯坦文集,2
1155,冰室合集,1
1156,明夷待访录,1
1157,性趣探秘,1
1158,钝感力,1
1159,失乐园,5
1160,连城诀,2
1161,庆余年,3
1162,荒野生存,1
1163,心流,6
1164,人体的故事,1
1165,运动改造大脑,1
1166,看不见的人,1
1167,内向性格的竞争力,2
1168,"When I Stop Talking, You&#39;ll Know I&#39;m Dead",1
1169,世界上最伟大的推销员,5
1170,选择的悖论,1
1171,创作者的日常生活,1
1172,谈判力,1
1173,马尔科姆·X自传,1
1174,道德动物,1
1175,专精力,1
1176,关于写作,2
1177,待宰的羔羊,3
1178,像里兹饭店那样大的钻石,3
1179,咆哮营的幸运儿,3
1180,世界的感觉,2
1181,好人难寻,2
1182,卡拉维拉县驰名的跳蛙,2
1183,穿夏裙的女孩,2
1184,与父亲的对话,2
1185,逮香蕉鱼的最佳日子,2
1186,泄密的心,3
1187,铁头,2
1188,当我们谈论爱情时我们在谈论什么,2
1189,书店老板,3
1190,詹姆斯与巨桃,1
1191,跳蛙,1
1192,所罗门之歌,3
1193,奥丽芙・基特里奇,1
1194,海滩一日,1
1195,奶奶的手,1
1196,脑子中的子弹,1
1197,我的前半生,3
1198,未央歌,4
1199,地球往事,1
1200,曾国藩治学方法,1
1201,往事并不如烟,3
1202,干校六记,1
1203,卡拉马佐夫兄弟,14
1204,中国知识分子群像——梁漱溟，储安平，王实味,1
1205,你一年的8760小时,5
1206,关键对话,7
1207,不能好好说话，是因为你不懂这几个技巧,1
1208,病隙碎笔,5
1209,约翰·克里斯多夫,1
1210,安娜卡列尼娜 ,1
1211,约翰克里斯朵夫,1
1212,鼠疫,6
1213,纳齐斯与戈德蒙,1
1214,小约翰,1
1215,约翰·克里斯朵夫,2
1216,战争与和平,9
1217,莫失莫忘,1
1218,论自由,4
1219,如何说孩子才会听，怎么听孩子才肯说,1
1220,魔戒,2
1221,龙枪编年史,2
1222,老子,8
1223,空想社会主义学说史,1
1224,社会主义改革史,1
1225,五篇哲学著作,1
1226,高难度对话：如何与挑剔的人愉快相处,2
1227,跟任何人都聊得来,1
1228,不为他人抓狂,1
1229,高难度对话,1
1230,挪威的森林,28
1231,欧也妮·葛朗台,1
1232,愿有人陪你颠沛流离,1
1233,我与世界只差一个你,1
1234,凡人,8
1235,给总理的101封信,1
1236,高兴死了！！！,1
1237,君主论,10
1238,文明的冲突与世界秩序的重建,2
1239,风格的要素,1
1240,政治学,3
1241,其实不识字,1
1242,复古思潮与中唐士人心态研究,1
1243,林泉高致评注,1
1244,佛教与中国传统文人生活,1
1245,解读旧制度与大革命,1
1246,浮士德博士,1
1247,汉字风云会,1
1248,认得几个字,2
1249,世界上最简单的会计书,3
1250,让数字说话：审计，就这么简单,1
1251,审计学：一种整合方法,1
1252,索耶内部审计：现代内部审计实务,1
1253,财务会计教程,1
1254,房地产开发企业会计与纳税实务,1
1255,财务报表分析,1
1256,财务报表分析与运用,1
1257,公司理财,2
1258,追逐日光,1
1259,山家清供,2
1260,书读完了,2
1261,道连格雷的画像,1
1262,爱的沟通,1
1263,全球通史：从史前史到21世纪,1
1264,社会学的邀请,1
1265,经济学原理·曼昆,1
1266,经济学十原理,1
1267,一句顶一万句,11
1268,我改变的事物,1
1269,羊道三部曲,2
1270,财务自由之路,2
1271,爆款文案写作公式,5
1272,舌尖上的中国,2
1273,走出帝制,1
1274,传统十论,1
1275,本周杂志,1
1276,穷爸爸，富爸爸,2
1277,"rich dad,poor dad",1
1278,Principles of economics,1
1279,市场营销学,1
1280,marketing an introduction,1
1281,怪诞行为学—可预测的非理性,1
1282,predictably irrational,1
1283,普通生物学,2
1284,梦断代码,1
1285,编程之道,1
1286,代码大全</p><p>8. 编码的奥秘 作者 : Charles Petzold/伍卫国/王宣政/孙燕妮 出版社 : 机械工业出版社 评语 : windstorm（计算机工程，嵌入式）推荐；come_god 说，什么都不说了，大家可以去找来看。神作！</p><p>9. 大众天文学(上下两册) 作者 : C.弗拉马里翁 出版社 : 广西师范大学出版社 评语 : Gerry（天文学）的推荐</p><p>10. 费恩曼物理学讲义（第1卷） 作者 : Richard P. Feynman/Robert B. Leighton/Matthew Sands 出版社 : 上海科学技术出版社 评语 : Yin Zhangqi推荐（量子光学）：用于学习现代物理学非常有帮助。如果想专门学习量子物理学，可以读第三卷，是入门的好教材；bullimit点评：经典，同时还可以结合阅读费曼的两本自传及QED这本演讲集来作为辅助入门读物。</p><p>11. 环境科学：全球关注 上下 作者 : 库宁汉姆 出版社 : 科学出版社 评语 : newgnaw（环境科学）：有中译本，虽然个别地方译的不是太好。比国内的各种教材入的深，出的浅，有趣得多。</p><p>12. 最大的小发明：螺丝与螺丝刀 作者 : 里布金斯基 出版社 : 百花文艺出版社 评语 : 霹雳东风（机械专业）推荐：前半部分有些学究考古的味道，没什么意思。后半部分被这个外行人道出了机械行业一个最关键的概念之一——精度。而且从螺丝的角度来讲精度，就相当于是从加工工艺的角度去讲。所以这本书相当靠谱。</p><p>13. 世界科学技术通史 作者 : 麦克莱伦第三 出版社 : 上海科技教育出版社 评语 : 吃瓜王（科学史）推荐</p><p>14. 建筑空间组合论（第三版） 作者 : 彭一刚 著 出版社 : 中国建筑工业出版社 评语 : chenglixiang88（建筑）：最后一章用处不大，这本书我现在还没读透</p><p>15. 《华尔街日报,1
1287,×××与生活,1
1288,伦理学与生活,1
1289,经济学与生活,1
1290,听音乐,1
1291,清洁与高雅,1
1292,改变世界的方程 ——牛顿爱因斯坦和相对论,1
1293,夸克,1
1294,古典作曲家排行榜,1
1295,博弈论基础,1
1296,博弈论,1
1297,机械设计手册,1
1298,风景园林设计要素,1
1299,金枝,2
1300,文化人类学,1
1301,在小吃店遇见凯恩斯,1
1302,弗里德曼的生活经济学,1
1303,魔鬼经济学啊等等,1
1304,假如给你一个亿,1
1305,不在他方,1
1306,狼图腾,18
1307,卢瑟经济学,4
1308,古拉格群岛,1
1309,汇编语言,2
1310,古文观止,8
1311,报任安书,1
1312,味至浓时即家乡,1
1313,深夜食堂,1
1314,人间草木·人物篇,1
1315,葡萄月令,1
1316,夏天的昆虫,1
1317,新校舍,1
1318,闻一多先生上课,1
1319,沈从文先生转业之谜,1
1320,老舍先生,1
1321,我的家乡,1
1322,一辈古人,1
1323,大清留美幼童记,1
1324,阿司匹林的传奇,1
1325,长安十二时辰,4
1326,"Gödel, Escher, Bach: An Eternal Golden Braid",1
1327,哥德尔、艾舍尔、巴赫——集异壁之大成,1
1328,GEB——一条永恒的金带,1
1329,长日将尽,2
1330,番茄工作法,1
1331,小狗钱钱2,1
1332,一枚古代硬币的两面,1
1333,晋书,2
1334,我不喜欢这世界，我只喜欢你,9
1335,留德十年,1
1336,牛棚杂忆,1
1337,清华园日记,1
1338,积存时间的生活,2
1339,明天也是小春日和,2
1340,每天都是小春日和,2
1341,人生果实,2
1342,当我遇见一个人,1
1343,Deep Work,1
1344,你不重要，你的喜欢很重要,1
1345,A Mind for Numbers,1
1346,Learning How to Learn,1
1347,内向者优势,1
1348,给经理人的第一课,1
1349,平行宇宙,2
1350,源泉,12
1351,阿特拉斯耸耸肩,3
1352,放学后,6
1353,生死疲劳,3
1354,我会像青草一样呼吸,1
1355,寂静的春天,3
1356,一个女人一生中的二十四小时,2
1357,茶花女,6
1358,情书,8
1359,简爱,11
1360,长恨歌,3
1361,第一推动丛书,1
1362,时间简史续编,1
1363,黑洞与时间弯曲,1
1364,霍金演讲录,1
1365,时空本性,1
1366,果壳里的60年,1
1367,时空里的未来,1
1368,千亿个太阳,1
1369,物理天文学前沿,1
1370,黑洞战争,1
1371,宇宙传记,1
1372,大宇之形,1
1373,宇宙的轮回,1
1374,死亡黑洞,1
1375,爱因斯坦的未完成交响曲,1
1376,大爆炸简史,1
1377,宇宙的琴弦,1
1378,宇宙的结构,1
1379,上帝与新物理学,1
1380,时间之箭,1
1381,终极理论之梦,1
1382,时间、空间和万物,1
1383,亚原子粒子的发现,1
1384,存在之轻,1
1385,不同的宇宙,1
1386,物理学的困惑,1
1387,量子之谜,1
1388,寻找希格斯粒子,1
1389,完美理论,1
1390,原子中的幽灵,2
1391,惊人的假说,1
1392,解码生命,1
1393,第二自然,1
1394,比天空更宽广,1
1395,生命的语言,1
1396,我们为什么会生病,2
1397,脑中魅影,1
1398,皇帝新脑,1
1399,四维旅行,1
1400,逻辑的引擎,1
1401,真理与美,1
1402,未来50年,1
1403,伽利略的手指,1
1404,实在终极之问,1
1405,下一步是什么,1
1406,复杂,2
1407,数学的意义,1
1408,复杂的引擎,1
1409,当我谈跑步时，我谈些什么,3
1410,且听风吟,2
1411,1973年的弹子球,2
1412,寻羊冒险记,5
1413,当我谈跑步时 我谈些什么,2
1414,我的职业是小说家,2
1415,当我谈跑步时我谈些什么,7
1416,当我谈跑步时  我谈些什么,1
1417,当我足够好，才会遇见你,1
1418,偷影子的人,7
1419,知更鸟女孩,1
1420,人民的民义,1
1421,人民的名义,1
1422,天生有罪,1
1423,集异璧,1
1424,表象与本质,1
1425,九故事,1
1426,战国史料编年辑证,1
1427,编年辑证,1
1428,新华词典,1
1429,国语,2
1430,追逐我的梦,5
1431,我是唱作人,1
1432,世界上没有真正的感同身受,1
1433,王小波全集,1
1434,一平方米的静心,1
1435,我要准时下班,2
1436,生存的十二條法則,1
1437,让创意更有黏性,1
1438,狐狸与葡萄,1
1439,活出意义来,1
1440,语言的魔力：谈笑间转变信念之NLP技巧,1
1441,雅舍小品,1
1442,将夜,4
1443,论语别裁,1
1444,论语今读,1
1445,叔本华论说文集,2
1446,为什么学生不喜欢上学,2
1447,共和·民主·宪政：自由主义思想研究 ,1
1448,制度、制度变迁与经济绩效,1
1449,将才,1
1450,将才２,1
1451,快乐的每一天,1
1452,快了的每一天,1
1453,告别天堂,2
1454,方与圆,3
1455,第七天,8
1456,完美世界,1
1457,全职高手,5
1458,邪王追妻,1
1459,上瘾,1
1460,长相思,1
1461,东周列国志,2
1462,三国演义,19
1463,时间的礼物,1
1464,外婆的道歉信,3
1465,熊镇,2
1466,黑糖匣,1
1467,风俗论,1
1468,英国1640年革命史,1
1469,伟大的德国农民战争,1
1470,草原帝国,1
1471,雪狮与龙,1
1472,跃迁,2
1473,单向度的人,1
1474,庄子,17
1475,怦然心动,4
1476,少年pi的奇幻漂流,3
1477,The one thing,1
1478,美国物理学杂志,1
1479,最后的伊甸园,1
1480,说故事的人最有影响力,1
1481,八十天环游世界,1
1482,江南三部曲,1
1483,人面桃花,1
1484,山河入梦,1
1485,春尽江南,1
1486,The Eighth Day of Creation,1
1487,创世第八天,1
1488,冰鉴,2
1489,智囊全集,3
1490,三言,1
1491,你在天堂遇见的五个人,2
1492,你在天堂里遇见的五个人,8
1493,达芬奇密码,6
1494,一日重生,2
1495,亲密的陌生人,1
1496,幸福的方法 ,1
1497,真实的幸福,1
1498,角儿,1
1499,飞鸟集,10
1500,先知,2
1501,坛经,4
1502,给青年诗人的信,4
1503,灰度决策,1
1504,向往的生活3,1
1505,燃点,1
1506,盖洛普优势识别码2.0,1
1507,风之影,1
1508,好的心理咨询师是什么样子（倾听篇）,1
1509,微电子概论,1
1510,半导体概论,1
1511,固体物理,1
1512,固体化学基础,1
1513,半导体物理,1
1514,半导体器件物理,1
1515,模拟集成电路的分析与设计,1
1516,数字集成电路,1
1517,专用集成电路设计方法,1
1518,半导体制造工艺基础,1
1519,半导体材料,1
1520,功率半导体器件：原理、特性和可靠性,1
1521,动物农庄,3
1522,人生最美是清欢,1
1523,自立,1
1524,心灵励志袖珍馆：自立,1
1525,幸得诸君慰平生,2
1526,堂吉柯德,1
1527,权利的游戏,1
1528,How Great Leaders Inspire Action,1
1529,杰士邦产品使用说明书,1
1530,谈艺录,3
1531,十一家注孙子,5
1532,乌合之众——大众心理研究,1
1533,狂热分子——群众运动圣经,1
1534,二手时间,2
1535,中国古代政治得失,1
1536,宋史·艺文志,1
1537,十家孙子会注,1
1538,十一家注本,1
1539,国民财富的性质和原因的研究（上卷）,1
1540,柔与韧,3
1541,用大师的思想丰富自己的生命,1
1542,那些见证和改变历史的人,1
1543,人物,1
1544,回到生活的原点,1
1545,采桑子,1
1546,伤逝,8
1547,彷徨,3
1548,禁地青春,1
1549,烧烤怪谈,1
1550,江湖丛谈,3
1551,盗墓笔记,8
1552,一个人的朝圣,10
1553,薛兆丰的经济学讲义,1
1554,华尔街日报是怎么讲故事的,1
1555,人生的枷锁,6
1556,我们,6
1557,小学问 : 解决你的7种人生焦虑,1
1558,小学问,1
1559,所有失去的都会以另一种方式归来,1
1560,好好学习：个人知识管理精进指南,1
1561,好好说话2：简单有效的高情商沟通术,1
1562,我在未来等你,1
1563,覆汉,1
1564,陈寅恪的最后20年,2
1565,一个人要像一支队伍,1
1566,新青年,1
1567,孽子,5
1568,三国志,6
1569,海底两万里,3
1570,慢煮生活,3
1571,大明文魁,1
1572,激荡四十年,1
1573,激荡十年，水大鱼大,2
1574,伯克毕生发展心理学,1
1575,从0岁到青少年,1
1576,从青年到老年,1
1577,癌症：真相 医生也在读,1
1578,而河马被淹死在水槽里,1
1579,而河马被煮死在水槽里,1
1580,诗经,15
1581,原道,1
1582,书语者,1
1583,流浪地球,3
1584,六国论,2
1585,阿旁宫赋,1
1586,波西杰克逊,1
1587,号角杂志,1
1588,哈利波特与魔法石,1
1589,科学小说年报,1
1590,科克斯评论,1
1591,书单,1
1592,学校图书馆期刊,1
1593,今日新闻报,1
1594,波西·杰克逊,1
1595,八次危机,3
1596,砰然心动整理收纳法,1
1597,楞严经,7
1598,大佛顶如来密因修证了义诸菩萨万行首楞严经,2
1599,中印度那烂陀大道场经,1
1600,愣严经,1
1601,爱与黑暗的故事,1
1602,寻路中国,3
1603,江城,4
1604,南方人物周刊,1
1605,中国图书馆分类法.简本,1
1606,天才在左 疯子在右 ,1
1607,笑场,2
1608,扯经,1
1609,丧失为人的资格,1
1610,凡人修仙传,1
1611,海边的卡夫卡,6
1612,再袭面包店,1
1613,女生徒,2
1614,野草,2
1615,秦腔,3
1616,丧钟为谁而鸣,1
1617,走出非洲,1
1618,伊豆的舞女,4
1619,金阁寺,6
1620,兄弟,19
1621,被埋葬的巨人,1
1622,乔布斯,2
1623,暗恋.橘生淮南,1
1624,不存在的女孩,2
1625,桑青与桃红,2
1626,裸猿,2
1627,人类动物园,1
1628,亲密行为,2
1629,献给阿尔吉侬的花束,2
1630,精神现象学,3
1631,大灭绝时代,1
1632,汤姆斯河,1
1633,大鸡,1
1634,创造自然,3
1635,超级版图,1
1636,极简宇宙史,3
1637,柔软的宇宙,1
1638,穿越平行宇宙,1
1639,无人驾驶,1
1640,吃货的生物学修养,1
1641,赶往火星,1
1642,我想飞进天空,1
1643,众病之王•癌症传,1
1644,癌症真相,1
1645,优雅的老去,1
1646,消失的微生物,2
1647,致命伴侣：在细菌的世界里求生,1
1648,最好的告别,8
1649,直视骄阳,2
1650,让时间治愈一切,1
1651,单身社会,1
1652,我在底层的生活,1
1653,白手起家,1
1654,转行,2
1655,战争与革命中的西南联大,2
1656,罗马帝国衰亡史,2
1657,罗马盛衰原因论,1
1658,天朝的崩溃：鸦片战争再研究,1
1659,隋唐制度渊源略稿,1
1660,世界小史,1
1661,爱弥儿,1
1662,由内而外的修养,1
1663,母爱的羁绊,1
1664,厌女：日本的女性嫌恶,1
1665,女性贫困,1
1666,堂吉诃徳,2
1667,北平无战事,1
1668,堂吉诃徳与哈姆雷特——命运的咽喉与双手,1
1669,基因传,1
1670,恶意,17
1671,新参者,4
1672,独居的一年,1
1673,房思琪,1
1674,斗破苍穹,5
1675,努力到XX拼搏到XX,1
1676,你坏！我不！嘤嘤嘤！,1
1677,恶童三部曲,1
1678,葡萄牙的高山,2
1679,你的孤独 虽败犹荣,1
1680,弟子规,2
1681,三字经,1
1682,四书,3
1683,伯纳黛特，你去哪,1
1684,逻辑学导论,1
1685,心理学导论,1
1686,社会学与生活,1
1687,控制论与科学方法论,2
1688,默克家庭诊疗手册,1
1689,红,2
1690,聊斋志异,4
1691,楚辞,4
1692,孟子,6
1693,牡丹亭,2
1694,追忆似水年华,6
1695,安娜卡列尼娜,2
1696,莎士比亚全集,4
1697,源氏物语,3
1698,肖申克的救赎,11
1699,走到人生边上：自问自答,1
1700,向死而生,2
1701,谈修养,3
1702,给青年的十二封信,5
1703,论意志和表象的世界,1
1704,当呼吸化为空气,4
1705,石灰吟,3
1706,二十首情诗和一首绝望的歌,1
1707,我喜欢你是寂静的,1
1708,今夜我可以写下最哀伤的诗句,1
1709,一支绝望的歌,1
1710,每日你与宇宙的光,1
1711,哈佛中国简史,1
1712,DK人体大百科,1
1713,李光耀观天下,1
1714,激荡十年，鱼大水大,1
1715,见识,8
1716,态度,3
1717,庄子说：自然的萧声,1
1718,刑赏忠厚之至论,1
1719,寒食帖,1
1720,念奴娇.赤壁怀古,1
1721,赤壁赋,1
1722,如何骂人,1
1723,牛津英汉双语词典,1
1724,欢乐,1
1725,持续的幸福,1
1726,活出最乐观的自己,1
1727,死缓,1
1728,茫茫黑夜漫游,1
1729,二十五史精华,1
1730,汉书,1
1731,左传选,1
1732,地北天南叙古今,1
1733,资本主义与二十一世纪,1
1734,黄河青山,1
1735,汴京残梦,1
1736,中国人史纲,1
1737,国史刚要,1
1738,从文明起源到现代化,1
1739,伟大的历史,1
1740,现代中国史,1
1741,中国简明史,1
1742,桥梁史话,1
1743,中亚古国史,1
1744,沿着古代中亚的道路,1
1745,另一半中国史,1
1746,王朝的背影,1
1747,中国文化史,1
1748,中国古代衣食住行,1
1749,中国古文化的奥秘,1
1750,江河万古流（中国文化巡礼）,1
1751,中国人的特性,1
1752,真正的中国佬,1
1753,中国心灵,1
1754,解析中国,1
1755,洛阳游记,1
1756,中国长城,1
1757,中国十八省府,1
1758,燕山楚水,1
1759,中国文明记,1
1760,横跨中国大陆---游蜀杂俎,1
1761,观光纪游 观光续纪 观光游草,1
1762,1862年上海日记,1
1763,北京纪事 北京纪游,1
1764,我的留学记,1
1765,唐汉解字,1
1766,书法讲座,1
1767,书法艺术答问,1
1768,文字的魅力,1
1769,王作新汉字结构系统与传统思维方式,1
1770,中国伊朗编,1
1771,西域余闻,1
1772,茶事遍路,1
1773,西康札记,1
1774,血酬定律,2
1775,天可汗时代,1
1776,岳飞传,1
1777,十一世纪的王安石,1
1778,历史很敏感,1
1779,仙骨佛心,1
1780,心经,1
1781,四十二章经,1
1782,楞伽经,2
1783,维摩诘经,1
1784,普贤行愿品,1
1785,大势至菩萨圆通章,1
1786,观世音菩萨普门品,1
1787,地藏菩萨本愿经,4
1788,太上感应篇,1
1789,文昌帝君阴骘文,1
1790,觉世真经,1
1791,孝道劝化真经,1
1792,五灯会元,1
1793,禅门慧语,1
1794,佛教常识问答,1
1795,禅海珍言,1
1796,禅语精选百篇,1
1797,学佛须知,1
1798,禅与心理分析,1
1799,楞严咒修学手册,1
1800,百喻经今译,1
1801,李叔同说佛,1
1802,弘一法师传,1
1803,项羽与刘邦,1
1804,蒙古纪闻,1
1805,蒙古高原行纪,1
1806,成吉思汗,1
1807,蒙古帝国史,1
1808,蒙古秘史,1
1809,蒙古往事,1
1810,苍狼,4
1811,蒙古苍狼,1
1812,拔都汗,1
1813,马可波罗游记,1
1814,朱元璋传,1
1815,历史的镜子,1
1816,万历传,1
1817,陆游传,1
1818,正说明朝十六帝,1
1819,大明王朝的七张面孔,1
1820,千年悖论,1
1821,白门柳,1
1822,晚明风月,1
1823,朱雀,2
1824,李自成,1
1825,少年天子,1
1826,雍正皇帝,4
1827,慈禧传,1
1828,袁世凯传,1
1829,曾国藩往来家书全编,1
1830,曾国藩 胡林翼治兵语录,1
1831,曾国藩全传,1
1832,张之洞,1
1833,杨度,1
1834,李鸿章回忆录,1
1835,胡雪岩全传,1
1836,再生香,1
1837,八大胡同,1
1838,乾隆韵事,1
1839,母子君臣,1
1840,百花洲,1
1841,晚清官场规则研究,1
1842,中国历史上的大阴谋,1
1843,中国历史上的贪官,1
1844,中国历史上的昏官,1
1845,官场现形记,1
1846,最近官场秘密史,1
1847,文明小史,1
1848,恨海,1
1849,情变,1
1850,新华春梦,1
1851,晚清宫廷生活见闻,1
1852,宫女谈往录,1
1853,苍穹之昴,1
1854,克拉维约东使记,1
1855,英使访华录,1
1856,海屯行纪,1
1857,鄂多立克东游记,1
1858,沙哈鲁遣使中国记,1
1859,辛亥革命回忆录,1
1860,北洋军阀史话,1
1861,民国演义,1
1862,近代诗百首,1
1863,孙中山与中国革命的起源,1
1864,建国方略,2
1865,李大钊散文,1
1866,蒋廷黻回忆录,1
1867,近代史资料,1
1868,中国与美国,1
1869,伟大的中国革命,1
1870,郑超麟回忆录,1
1871,双山回忆录,1
1872,李宗仁回忆录,1
1873,胡适口述自传,2
1874,五十年代的尘埃,1
1875,张发奎口述自传,1
1876,粉末春秋（汪精卫政权的登场与散场）,1
1877,文史资料选辑,1
1878,周恩来传,1
1879,上海：冒险家的乐园,1
1880,赛金花本事,1
1881,宋氏三姐妹,1
1882,我的一个世纪,1
1883,魔窟生涯,1
1884,萧乾传,2
1885,人生扫描,1
1886,封面中国,1
1887,大帅府秘闻,1
1888,近代稗海,1
1889,古春风楼琐记,1
1890,镜花水月,1
1891,书生本色的历史机缘,1
1892,民国那些事儿,1
1893,去趟民国,1
1894,原来如此,1
1895,民国了,1
1896,民国风度,2
1897,非常道,1
1898,毛泽东诗词选,1
1899,毛泽东,1
1900,长征,1
1901,解放战争,1
1902,1901,1
1903,我在旧中国十三年,1
1904,漫长的革命,1
1905,紫禁城上话中国,1
1906,长征：前所未闻的故事,1
1907,中国：我的第二故乡,1
1908,我的生活,2
1909,我所认识的蒋介石,1
1910,抗战时代生活史,1
1911,银元时代生活史,1
1912,津津有味谈,1
1913,儿时“民国”,1
1914,安顺旧事：一种城记,1
1915,小回忆,1
1916,唢呐烟尘,1
1917,空谷幽兰,3
1918,白云深处,1
1919,逝去的武林,1
1920,粉墨春秋,1
1921,梅兰芳谈艺录,1
1922,徐悲鸿谈艺录,1
1923,北大旧事,1
1924,北大故事,1
1925,上学记,1
1926,追忆逝水年华,1
1927,问学谏往录,1
1928,师友杂忆,1
1929,八十忆双亲,1
1930,没有不散的筵席,1
1931,往事,1
1932,教育在清华,1
1933,万里行记,1
1934,山水 思想 人物,1
1935,鲁迅评传,1
1936,天一阁人物谭,1
1937,人事新语,1
1938,听涛室人物谭,1
1939,曹聚仁文选,1
1940,书林新话,1
1941,曹聚仁散文选集,1
1942,曹聚仁集,1
1943,记者生活三十年,1
1944,我在六十岁以前,1
1945,西潮,3
1946,百岁忆往,1
1947,伶人往事,1
1948,刘氏女,1
1949,四手联弹,1
1950,二流堂纪事,1
1951,大雅宝旧事,1
1952,国学常识,1
1953,列子,1
1954,易经,11
1955,荀子,1
1956,阵纪,1
1957,黄石公三略,1
1958,鬼谷子,5
1959,韩非子,4
1960,商君书,3
1961,吕氏春秋,1
1962,新序,1
1963,吴越春秋,1
1964,反经,1
1965,西京杂记,2
1966,汉武帝别国洞冥记,1
1967,汉武帝内传,1
1968,汉武故事,1
1969,裴子语林,1
1970,殷芸小说,1
1971,古文小品咀华,1
1972,欧阳修文选读,1
1973,水经注,1
1974,搜神记,1
1975,洛阳伽蓝记,1
1976,颜氏家训,1
1977,六朝文絜,1
1978,文心雕龙,1
1979,陶渊明集,1
1980,梦溪笔谈,1
1981,闲雅小品集观,1
1982,古文鉴赏大辞典,1
1983,古代短简三百篇,1
1984,容斋随笔,1
1985,东京梦华录,1
1986,武林旧事,2
1987,东坡志林,1
1988,鹤林玉露,1
1989,梦梁录,1
1990,历代花鸟鱼虫论选,1
1991,帝京景物略,1
1992,郑板桥集,1
1993,闲情偶寄,1
1994,袁中郎随笔,1
1995,陈眉公小品,1
1996,徐霞客游记,1
1997,本草纲目,4
1998,遵生八笺,1
1999,板桥杂记,1
2000,三吴游览志,1
2001,钟惺散文选集,1
2002,王季重小品,1
2003,阅微草堂笔记,2
2004,扬州画舫录,1
2005,西湖游览志,1
2006,渑水燕谈录,1
2007,猗觉寮杂记,1
2008,懒真子,1
2009,南烬纪闻,1
2010,云麓漫钞,1
2011,过庭录,1
2012,龙川别志,1
2013,墨客挥犀,1
2014,睽车志,1
2015,墨庄漫录,1
2016,朝野类要,1
2017,涉史随笔,1
2018,五总志,1
2019,芦浦笔记,1
2020,岭外代答,1
2021,游宦纪闻,1
2022,妙香室丛话,1
2023,粤西丛载,1
2024,前徽录,1
2025,京尘杂录,1
2026,香饮楼宾谈,1
2027,归田琐记,1
2028,南省公余录,1
2029,退庵随笔,1
2030,鸥陂渔话,1
2031,吹网录,1
2032,茶余客话,1
2033,子不语,2
2034,三异笔谈,1
2035,谐铎,1
2036,萤窗异草,1
2037,庸闲斋笔记,1
2038,埋忧集,1
2039,埋忧续集,1
2040,墨余录,1
2041,南皋笔记,1
2042,胜饮编,1
2043,宋琐语,1
2044,澳门纪略,1
2045,海外纪事,1
2046,懿行,1
2047,酒令丛抄,1
2048,謏闻续笔,1
2049,七颂堂识小录,1
2050,国史补,1
2051,增广智囊补,1
2052,千百年眼,1
2053,枣林杂俎,1
2054,梅花草堂集,1
2055,榆巢杂识,1
2056,瞑庵杂识,1
2057,浪迹丛谈,1
2058,里乘,1
2059,茶香室丛抄,1
2060,淞滨琐话,1
2061,南漘楛语,1
2062,啸亭杂录,1
2063,大唐新语,1
2064,云溪友议,1
2065,因话录,1
2066,宣室志,1
2067,杜阳杂编,2
2068,东观奏记,1
2069,玉泉子,1
2070,广卓异记,1
2071,异闻总录,1
2072,洛阳搢绅旧闻记,1
2073,玉壶清话,1
2074,青箱杂记,1
2075,西溪丛语,1
2076,甲申杂记,1
2077,随手杂录,1
2078,夷坚志,1
2079,清波杂志,1
2080,九国志,1
2081,画墁集,1
2082,宜州家乘,2
2083,临汉隐居诗话,1
2084,东轩笔录,1
2085,洞霄图志,1
2086,古今纪要逸编,1
2087,宋季三朝政要,1
2088,中兴御侮录,1
2089,襄阳守城录,1
2090,补汉兵志,1
2091,耕禄稿,1
2092,钓矶立谈,1
2093,续夷坚志,1
2094,归潜志,1
2095,滹南诗话,1
2096,砚北杂志,1
2097,北轩笔记,1
2098,庶斋老学丛谈,1
2099,山居新话,1
2100,客杭日记,1
2101,古刻丛抄,1
2102,遂昌杂录,1
2103,浦阳人物记,1
2104,玉芝堂谈荟,1
2105,宋遗民录,1
2106,责备馀谈,1
2107,天香阁随笔,1
2108,潞水客谈,1
2109,画禅室随笔,1
2110,香乘,1
2111,识余,1
2112,澹生堂藏书约,1
2113,霞外麈谈,1
2114,西洋朝贡典录,1
2115,舌华录,1
2116,岛居随录,1
2117,云间据目抄,1
2118,涌幢小品,1
2119,明斋小识,1
2120,燕下乡睉录,1
2121,郎潜纪闻,1
2122,重论文斋笔录,1
2123,宋艳,1
2124,客窗闲话,1
2125,熙朝新语,1
2126,北东园笔录,1
2127,儒林公议,1
2128,江隣几杂志,1
2129,归田录,1
2130,冷斋夜话,1
2131,石林燕语,1
2132,蒙斋笔谈,1
2133,侯鲭录,1
2134,曲洧旧闻,1
2135,窃愤录,1
2136,能改斋漫录,1
2137,桯史,1
2138,愧郯录,1
2139,经筵玉音问答,1
2140,入蜀记,2
2141,野客丛书,1
2142,吴船录,1
2143,志雅堂杂抄,1
2144,吹剑录,1
2145,松窗百说,1
2146,宣和奉使高丽图经,1
2147,庆元党禁,1
2148,中吴纪闻,1
2149,搜采异闻录,1
2150,随隐漫录,1
2151,昨非庵日纂,1
2152,韵石斋笔谈,1
2153,海岳志林,1
2154,碧血录,1
2155,北行日谱,1
2156,虞初新志,1
2157,虞初续志,1
